id,name,lat,lon,instagram_handle,access_token,tags,tier,type,time_category,energy_ramp,price,duration,cover,city,slug,description,contact,hours,address,vibe
6f67be75-02f4-472a-b977-8a99306d3941,Padella Shoreditch,51.5233823,-0.0817686,padella_pasta,,"[""pasta"",""pici"",""cacio"",""pepe"",""tagliarini"",""sauces"",""italian"",""feasting"",""plates"",""wine""]",,"[""lunch"",""dinner""]","[""midday"",""evening""]",1,$$$,1,,london,padella-shoreditch-ldn,,"[""https://www.instagram.com/padella_pasta/?hl=en""]","{""Fri"": {""open1"": ""12:00 pm"", ""open2"": ""5:00 pm"", ""close1"": ""3:45 pm"", ""close2"": ""10:00 pm""}, ""Mon"": {""open1"": ""12:00 pm"", ""open2"": ""5:00 pm"", ""close1"": ""3:45 pm"", ""close2"": ""10:00 pm""}, ""Sat"": {""open1"": ""12:00 pm"", ""open2"": ""5:00 pm"", ""close1"": ""3:45 pm"", ""close2"": ""10:00 pm""}, ""Sun"": {""open1"": ""12:00 pm"", ""close1"": ""9:00 pm""}, ""Thu"": {""open1"": ""12:00 pm"", ""open2"": ""5:00 pm"", ""close1"": ""3:45 pm"", ""close2"": ""10:00 pm""}, ""Tue"": {""open1"": ""12:00 pm"", ""open2"": ""5:00 pm"", ""close1"": ""3:45 pm"", ""close2"": ""10:00 pm""}, ""Wed"": {""open1"": ""12:00 pm"", ""open2"": ""5:00 pm"", ""close1"": ""3:45 pm"", ""close2"": ""10:00 pm""}}","Shoreditch, Padella, 1 Phipp St, London EC2A 4PS, United Kingdom","[""bustling"",""casual"",""warm"",""energetic"",""unfussy"",""convivial""]"
eb068792-d573-45ba-9b13-c3764bcdb474,Papo’s Bagels,51.5494592,-0.0608995,paposbagels,,"[""bagels"",""creamcheese"",""salmon"",""sandwiches"",""pickles"",""capers"",""tuna"",""mortadella"",""provolone"",""schmear""]",,"[""bakery""]","[""morning"",""midday""]",1,$,1,,london,papos-bagels-ldn,,"[""https://www.instagram.com/paposbagels/""]","{""Fri"": {""open1"": ""9:00 am"", ""close1"": ""3:00 pm""}, ""Mon"": null, ""Sat"": {""open1"": ""9:00 am"", ""close1"": ""3:00 pm""}, ""Sun"": {""open1"": ""9:00 am"", ""close1"": ""2:00 pm""}, ""Thu"": {""open1"": ""9:00 am"", ""close1"": ""3:00 pm""}, ""Tue"": null, ""Wed"": {""open1"": ""9:00 am"", ""close1"": ""3:00 pm""}}","Amhurst Rd, London E8 2AJ, United Kingdom","[""nostalgic"",""bustling"",""casual"",""unfussy"",""warm"",""energetic""]"
43a28c49-dcdf-4b10-aff7-6c0e3d685e19,Phonica Records,51.5143679,-0.1370608,phonicarecords,,"[""vinyl"",""records"",""house"",""techno"",""electro"",""disco"",""releases"",""djs"",""collecting"",""dance""]",,"[""lifestyle""]","[""midday"",""afternoon""]",1,$,1,,london,phonica-records-ldn,,"[""https://www.instagram.com/phonicarecords/?hl=en""]","{""Fri"": {""open1"": ""11:00 am"", ""close1"": ""7:30 pm""}, ""Mon"": {""open1"": ""11:00 am"", ""close1"": ""7:00 pm""}, ""Sat"": {""open1"": ""11:00 am"", ""close1"": ""7:00 pm""}, ""Sun"": {""open1"": ""12:00 pm"", ""close1"": ""6:00 pm""}, ""Thu"": {""open1"": ""11:00 am"", ""close1"": ""7:30 pm""}, ""Tue"": {""open1"": ""11:00 am"", ""close1"": ""7:00 pm""}, ""Wed"": {""open1"": ""11:00 am"", ""close1"": ""7:00 pm""}}","51 Poland St, London W1F 7ND, United Kingdom","[""specialist"",""electronic"",""curated"",""energetic"",""independent"",""focused""]"
f5a47fa8-7923-4cee-abda-82abecb047a2,Phonox,51.4643383,-0.1146374,phonoxlondon,,"[""djs"",""dancing"",""electronic"",""house"",""tickets"",""parties"",""sound"",""events"",""pints"",""music""]",,"[""club""]","[""late""]",1,$$$,1,,london,phonox-ldn,,"[""https://www.instagram.com/phonoxlondon/?hl=en""]","{""Fri"": {""open1"": ""10:00 pm"", ""close1"": ""4:00 am""}, ""Mon"": null, ""Sat"": {""open1"": ""10:00 pm"", ""close1"": ""4:00 am""}, ""Sun"": null, ""Thu"": {""open1"": ""11:00 pm"", ""close1"": ""3:00 am""}, ""Tue"": null, ""Wed"": null}","418 Brixton Rd, London SW9 7AY, United Kingdom","[""focused"",""intimate"",""pulsing"",""communal"",""nocturnal"",""strippedback""]"
58434320-eac9-464f-b39f-bd390c173d8b,Plume Wine Bar,51.5120938,-0.1202541,plumewinebar,,"[""wine"",""sparkling"",""cocktails"",""smallplates"",""flatbreads"",""cheeses"",""hotdogs"",""chips"",""speakeasy"",""bottles""]",,"[""wine bar""]","[""afternoon"",""evening""]",1,$$,1,,london,plume-wine-bar-ldn,,"[""https://www.instagram.com/plumewinebar/?hl=en""]","{""Fri"": {""open1"": ""12:00 pm"", ""close1"": ""11:30 pm""}, ""Mon"": {""open1"": ""3:00 pm"", ""close1"": ""11:00 pm""}, ""Sat"": {""open1"": ""12:00 pm"", ""close1"": ""11:30 pm""}, ""Sun"": {""open1"": ""12:00 pm"", ""close1"": ""9:00 pm""}, ""Thu"": {""open1"": ""12:00 pm"", ""close1"": ""11:00 pm""}, ""Tue"": {""open1"": ""3:00 pm"", ""close1"": ""11:00 pm""}, ""Wed"": {""open1"": ""12:00 pm"", ""close1"": ""11:00 pm""}}","26 Wellington St, London WC2E 7DD, United Kingdom","[""whimsical"",""intimate"",""literary"",""hidden"",""playful"",""lowlit""]"
3a95e28f-65d3-4468-985b-cf102025f26d,Pophams London Fields,51.5436252,-0.0575894,pophamsbakery,,"[""pastries"",""croissants"",""buns"",""sandwiches"",""salads"",""toasties"",""cakes"",""cookies"",""sourdough"",""coffee""]",,"[""bakery"",""cafe""]","[""morning"",""midday""]",1,$,1,,london,pophams-london-fields-ldn,,"[""https://www.instagram.com/pophamsbakery/?hl=en""]","{""Fri"": {""open1"": ""7:30 am"", ""close1"": ""4:00 pm""}, ""Mon"": {""open1"": ""7:30 am"", ""close1"": ""4:00 pm""}, ""Sat"": {""open1"": ""8:00 am"", ""close1"": ""4:00 pm""}, ""Sun"": {""open1"": ""8:30 am"", ""close1"": ""4:00 pm""}, ""Thu"": {""open1"": ""7:30 am"", ""close1"": ""4:00 pm""}, ""Tue"": {""open1"": ""7:30 am"", ""close1"": ""4:00 pm""}, ""Wed"": {""open1"": ""7:30 am"", ""close1"": ""4:00 pm""}}","197 Richmond Rd, London E8 3NJ, United Kingdom","[""artisanal"",""warm"",""inviting"",""contemporary"",""cozy"",""refined""]"
e8ff859f-ae05-41a3-a339-d2ca1b14f2d1,Prince Arthur,51.5274053,-0.085228,pubprincearthur,,"[""basque"",""seafood"",""caviar"",""lobster"",""brill"",""cheesecake"",""beer"",""snacks"",""wine"",""football""]",,"[""pub""]","[""afternoon"",""evening""]",1,$$,1,,london,prince-arthur-ldn,,"[""https://www.instagram.com/pubprincearthur/""]","{""Fri"": {""open1"": ""12:00 pm"", ""close1"": ""12:00 am""}, ""Mon"": {""open1"": ""4:00 pm"", ""close1"": ""11:00 pm""}, ""Sat"": {""open1"": ""12:00 pm"", ""close1"": ""12:00 am""}, ""Sun"": null, ""Thu"": {""open1"": ""12:00 pm"", ""close1"": ""11:00 pm""}, ""Tue"": {""open1"": ""12:00 pm"", ""close1"": ""11:00 pm""}, ""Wed"": {""open1"": ""12:00 pm"", ""close1"": ""11:00 pm""}}","49 Brunswick Pl, London N1 6EB, United Kingdom","[""polished"",""opulent"",""restored"",""stately"",""elevated"",""traditional""]"
ef85dd79-9ff7-4380-856f-031386fdcef2,Prufrock Coffee,51.5199272,-0.1094739,prufrockcoffee,,"[""espresso"",""beans"",""training"",""coffee"",""teas"",""brunch"",""scratchcooking"",""roasting"",""pastries"",""lunch""]",,"[""coffee"",""cafe""]","[""morning"",""midday""]",1,$,1,,london,prufrock-coffee-ldn,,"[""https://www.instagram.com/prufrockcoffee/?hl=en""]","{""Fri"": {""open1"": ""7:30 am"", ""close1"": ""4:30 pm""}, ""Mon"": {""open1"": ""7:30 am"", ""close1"": ""4:30 pm""}, ""Sat"": {""open1"": ""8:00 am"", ""close1"": ""5:00 pm""}, ""Sun"": {""open1"": ""9:00 am"", ""close1"": ""5:00 pm""}, ""Thu"": {""open1"": ""7:30 am"", ""close1"": ""4:30 pm""}, ""Tue"": {""open1"": ""7:30 am"", ""close1"": ""4:30 pm""}, ""Wed"": {""open1"": ""7:30 am"", ""close1"": ""4:30 pm""}}","23-25 Leather Ln, London EC1N 7TE, United Kingdom","[""focused"",""expert"",""bustling"",""bright"",""meticulous"",""unfussy""]"
99732f5a-68fc-4db8-b24b-2af55a0313e1,Pure Vinyl Records,51.4640543,-0.1156453,purevinyllondon,,"[""vinyl"",""records"",""soul"",""reggae"",""jazz"",""hiphop"",""crates"",""digging"",""secondhand"",""music""]",,"[""lifestyle""]","[""midday"",""afternoon""]",1,$,1,,london,pure-vinyl-records-ldn,,"[""https://www.instagram.com/purevinyllondon/?hl=en""]","{""Fri"": {""open1"": ""11:00 am"", ""close1"": ""7:00 pm""}, ""Mon"": {""open1"": ""11:30 am"", ""close1"": ""6:00 pm""}, ""Sat"": {""open1"": ""11:00 am"", ""close1"": ""6:00 pm""}, ""Sun"": {""open1"": ""12:00 pm"", ""close1"": ""5:00 pm""}, ""Thu"": {""open1"": ""11:00 am"", ""close1"": ""7:00 pm""}, ""Tue"": {""open1"": ""11:30 am"", ""close1"": ""6:00 pm""}, ""Wed"": {""open1"": ""11:00 am"", ""close1"": ""6:00 pm""}}","246 Ferndale Rd, London SW9 8FR, United Kingdom","[""analog"",""soulful"",""communal"",""nostalgic"",""eclectic"",""intimate""]"
3564f595-0090-4af5-bf8f-cdb4bcf88394,Quality Wines,51.5246799,-0.109924,qualitywinesfarringdon,,"[""wine"",""mediterranean"",""aperitivo"",""snacks"",""sharing"",""plates"",""pasta"",""caponata"",""tagliatelle"",""bottles""]",,"[""lunch"",""wine bar""]","[""afternoon"",""evening""]",1,$$,1,,london,quality-wines-ldn,,"[""https://www.instagram.com/qualitywinesfarringdon/""]","{""Fri"": {""open1"": ""12:00 pm"", ""close1"": ""10:00 pm""}, ""Mon"": null, ""Sat"": {""open1"": ""12:00 pm"", ""close1"": ""10:00 pm""}, ""Sun"": null, ""Thu"": {""open1"": ""12:00 pm"", ""close1"": ""10:00 pm""}, ""Tue"": {""open1"": ""12:00 pm"", ""close1"": ""10:00 pm""}, ""Wed"": {""open1"": ""12:00 pm"", ""close1"": ""10:00 pm""}}","88 Farringdon Rd, London EC1R 3EA, United Kingdom","[""intimate"",""relaxed"",""polished"",""neighborhood"",""convivial"",""understated""]"
